Regiao;2001;2002;2003;2004;2005;2006;2007;2008;2009;2011;2012;2013;2014;2015
Norte;9.910;10.182;10.452;14.571;14.866;15.162;15.445;15.725;15.998;16.528;16.789;17.040;17.285;17.524
Nordeste;49.724;50.348;50.950;51.530;52.090;52.641;53.161;53.659;54.140;55.044;55.475;55.881;56.270;56.641
Sudeste;75.164;76.071;76.957;77.818;78.661;79.497;80.296;81.072;81.827;83.274;83.976;84.645;85.291;85.916
Sul;25.769;26.055;26.336;26.612;26.883;27.153;27.414;27.667;27.916;28.397;28.633;28.858;29.077;29.290
Centro-Oeste;12.174;12.420;12.665;12.908;13.151;13.398;13.639;13.877;14.114;14.582;14.816;15.043;15.268;15.489
;;;;;;;;;;;;;;
